region_id,lat,capacity,electric_bike_surcharge_waiver,legacy_id,has_kiosk,station_type,lon,rental_methods/0,rental_methods/1,station_id,short_name,eightd_has_key_dispenser,name
71,40.804038,27,FALSE,3535,TRUE,classic,-73.945925,CREDITCARD,KEY,3535,7685.14,FALSE,Mt Morris Park W & W 120 St
71,40.8082,43,FALSE,3536,TRUE,classic,-73.9641,CREDITCARD,KEY,3536,7713.11,FALSE,W 116 St & Broadway
71,40.6809741,29,FALSE,3537,TRUE,classic,-73.9710097,CREDITCARD,KEY,3537,4199.12,FALSE,Carlton Ave & Dean St
71,40.802692,45,FALSE,3538,TRUE,classic,-73.96295,CREDITCARD,KEY,3538,7646.04,FALSE,W 110 St & Amsterdam Ave
71,40.8067581,43,FALSE,3539,TRUE,classic,-73.9607082,CREDITCARD,KEY,3539,7692.11,FALSE,W 116 St & Amsterdam Ave
71,40.81,35,FALSE,3540,TRUE,classic,-73.9551508,CREDITCARD,KEY,3540,7741.01,FALSE,Morningside Ave & W 123 St
71,40.813358,39,FALSE,3541,TRUE,classic,-73.956461,CREDITCARD,KEY,3541,7800.03,FALSE,Amsterdam Ave & W 125 St
71,40.8086249,29,FALSE,3542,TRUE,classic,-73.9596214,CREDITCARD,KEY,3542,7727.07,FALSE,Amsterdam Ave & W 119 St
71,40.81028506,35,FALSE,3543,TRUE,classic,-73.95736456,CREDITCARD,KEY,3543,7741.04,FALSE,Morningside Dr & Amsterdam Ave
71,40.6804836,27,FALSE,3544,TRUE,classic,-73.9646795,CREDITCARD,KEY,3544,4231.04,FALSE,Underhill Ave & Pacific St
71,40.8120562,33,FALSE,3545,TRUE,classic,-73.9612547,CREDITCARD,KEY,3545,7783.18,FALSE,Broadway & W 122 St
71,40.6791944,21,FALSE,3546,TRUE,classic,-73.9587903,CREDITCARD,KEY,3546,4148.07,FALSE,Pacific St & Classon Ave
71,40.8143256,41,FALSE,3547,TRUE,classic,-73.9590255,CREDITCARD,KEY,3547,7823.03,FALSE,Broadway & Moylan Pl
71,40.678045,25,FALSE,3549,TRUE,classic,-73.962408,CREDITCARD,KEY,3549,4190.06,FALSE,Grand Ave & Bergen St
71,40.795508,23,FALSE,3551,TRUE,classic,-73.941606,CREDITCARD,KEY,3551,7543.15,FALSE,3 Ave & E 112 St
71,40.805973,39,FALSE,3552,TRUE,classic,-73.964928,CREDITCARD,KEY,3552,7713.01,FALSE,W 113 St & Broadway
71,40.801694,37,FALSE,3553,TRUE,classic,-73.957145,CREDITCARD,KEY,3553,7631.23,FALSE,Frederick Douglass Blvd & W 112 St
71,40.7552433,27,FALSE,3554,TRUE,classic,-73.9485678,CREDITCARD,KEY,3554,6514.08,FALSE,Vernon Blvd & 41 Rd
71,40.751047,27,FALSE,3555,TRUE,classic,-73.93797,CREDITCARD,KEY,3555,6462.19,FALSE,28 St & 41 Ave
71,40.75742,19,FALSE,3557,TRUE,classic,-73.945133,CREDITCARD,KEY,3557,6664.05,FALSE,40 Ave & 9 St
71,40.6794388,27,FALSE,3558,TRUE,classic,-73.9680438,CREDITCARD,KEY,3558,4157.1,FALSE,Bergen St & Vanderbilt Ave
71,40.7576314,19,FALSE,3559,TRUE,classic,-73.9391224,CREDITCARD,KEY,3559,6656.05,FALSE,21 St & 38 Ave
71,40.7531106,26,FALSE,3561,TRUE,classic,-73.9279917,CREDITCARD,KEY,3561,6529.02,FALSE,37 Ave & 35 St
71,40.6765198,27,FALSE,3562,TRUE,classic,-73.9596082,CREDITCARD,KEY,3562,4074.03,FALSE,Classon Ave & St Marks Ave
71,40.757186,29,FALSE,3563,TRUE,classic,-73.932719,CREDITCARD,KEY,3563,6614.01,FALSE,28 St & 36 Ave
71,40.7601853,19,FALSE,3564,TRUE,classic,-73.9362726,CREDITCARD,KEY,3564,6729.02,FALSE,21 St & 36 Ave
71,40.7614376,19,FALSE,3565,TRUE,classic,-73.9411265,CREDITCARD,KEY,3565,6737.03,FALSE,36 Ave & 10 St
71,40.7596276,25,FALSE,3566,TRUE,classic,-73.9321455,CREDITCARD,KEY,3566,6688.01,FALSE,Crescent St & 35 Ave
71,40.7569332,21,FALSE,3568,TRUE,classic,-73.9262231,CREDITCARD,KEY,3568,6605.08,FALSE,34 St & 35 Ave
71,40.6758324,29,FALSE,3569,TRUE,classic,-73.9561677,CREDITCARD,KEY,3569,4107.05,FALSE,Franklin Ave & St Marks Ave
71,40.7557327,31,FALSE,3570,TRUE,classic,-73.9236611,CREDITCARD,KEY,3570,6563.12,FALSE,35 Ave & 37 St
71,40.676368,24,FALSE,3571,TRUE,classic,-73.952918,CREDITCARD,KEY,3571,4066.15,FALSE,Bedford Ave & Bergen St
